rowNumber,PersonId,Solved ,State 
10,5Not Solved,s7
20,13Solved,s7
26,20Not Solved,s7
30,20Not Solved,s7
36,44Solved,s7
66,85Solved,s7
72,95Solved,s7
80,100Not Solved,s7
86,106Solved,s7
90,114Solved,s7
100,131Solved,s7
108,135Not Solved,s7
112,147Not Solved,s7
116,151Not Solved,s7
118,151Solved,s7
128,160Solved,s7
136,165Solved,s7
140,177Not Solved,s7
150,195Not Solved,s7
154,204Not Solved,s7
156,204Not Solved,s7
160,205Not Solved,s7
162,205Not Solved,s7
164,205Solved,s7
166,209Solved,s7
168,212Not Solved,s7
186,226Not Solved,s7
188,226Solved,s7
198,238Not Solved,s7
206,270Not Solved,s7
208,270Solved,s7
214,281Not Solved,s7
218,283Solved,s7
228,293Not Solved,s7
230,293Solved,s7
254,330Not Solved,s7
260,350Not Solved,s7
270,357Not Solved,s7
272,357Not Solved,s7
284,369Solved,s7
288,371Not Solved,s7
290,373Solved,s7
302,376Solved,s7
308,385Solved,s7
310,386Solved,s7
320,396Solved,s7
338,410Solved,s7
344,413Not Solved,s7
354,427Not Solved,s7
356,427Not Solved,s7
358,428Not Solved,s7
362,429Solved,s7
368,435Not Solved,s7
370,435Not Solved,s7
372,435Not Solved,s7
374,435Solved,s7
394,459Solved,s7
410,478Not Solved,s7
416,488Solved,s7
460,563Solved,s7
470,569Not Solved,s7
472,569Solved,s7
482,581Solved,s7
484,585Solved,s7
486,591Not Solved,s7
488,593Not Solved,s7
490,593Not Solved,s7
494,599Not Solved,s7
500,604Solved,s7
508,625Not Solved,s7
512,628Solved,s7
522,638Not Solved,s7
544,680Solved,s7
546,681Solved,s7
548,688Not Solved,s7
550,690Not Solved,s7
552,690Solved,s7
556,695Not Solved,s7
560,695Not Solved,s7
562,695Solved,s7
580,711Not Solved,s7
592,722Solved,s7
598,729Not Solved,s7
612,740Not Solved,s7
614,740Not Solved,s7
616,740Not Solved,s7
640,763Solved,s7
652,795Not Solved,s7
654,795Solved,s7
662,799Not Solved,s7
666,804Solved,s7
670,808Not Solved,s7
680,830Solved,s7
690,846Not Solved,s7
692,846Solved,s7
712,862Not Solved,s7
714,862Solved,s7
724,867Solved,s7
738,883Not Solved,s7
746,895Not Solved,s7
752,898Not Solved,s7
760,907Solved,s7
778,931Solved,s7
790,946Solved,s7
792,950Solved,s7
806,969Solved,s7
808,972Solved,s7
830,994Not Solved,s7
836,1003Solved,s7
840,1004Solved,s7
856,1029Not Solved,s7
872,1043Solved,s7
888,1079Solved,s7
894,1095Solved,s7
930,1151Not Solved,s7
958,1189Solved,s7
964,1192Solved,s7
986,1209Solved,s7
990,1212Not Solved,s7
998,1213Not Solved,s7
1000,1213Not Solved,s7
1002,1213Not Solved,s7
1008,1215Solved,s7
1018,1225Solved,s7
1028,1234Not Solved,s7
1056,1256Not Solved,s7
1060,1257Solved,s7
1074,1274Not Solved,s7
1076,1274Solved,s7
1080,1275Not Solved,s7
1084,1277Solved,s7
1090,1289Solved,s7
1100,1312Solved,s7
1108,1324Not Solved,s7
1110,1324Solved,s7
1114,1334Not Solved,s7
1118,1345Not Solved,s7
1122,1349Not Solved,s7
1124,1349Solved,s7
1128,1352Solved,s7
1142,1378Not Solved,s7
1146,1381Solved,s7
1162,1417Solved,s7
1184,1437Not Solved,s7
1186,1437Not Solved,s7
1190,1437Solved,s7
1196,1442Solved,s7
1208,1462Not Solved,s7
1210,1462Not Solved,s7
1220,1465Solved,s7
1222,1467Solved,s7
1234,1492Solved,s7
1242,1500Solved,s7
1246,1505Solved,s7
1258,1523Not Solved,s7
1264,1526Solved,s7
1282,1545Solved,s7
1290,1556Not Solved,s7
1292,1563Solved,s7
