0,11,s4,2088,Total
1,15,s4,3065,Total
2,20,s4,2356,Total
3,29,s4,2631,Total
4,32,s4,2517,Total
5,48,s4,1073,Total
6,49,s4,2202,Total
7,52,s4,1274,Total
8,55,s4,2176,Total
9,67,s4,3928,Total
10,79,s4,1262,Total
11,80,s4,3445,Total
12,99,s4,1486,Total
13,101,s4,1526,Total
14,119,s4,3056,Total
15,129,s4,3489,Total
16,139,s4,2096,Total
17,148,s4,2041,Total
18,153,s4,3061,Total
19,155,s4,1164,Total
20,158,s4,3074,Total
21,164,s4,2944,Total
22,173,s4,2869,Total
23,178,s4,3634,Total
24,182,s4,3575,Total
25,198,s4,2616,Total
26,211,s4,1018,Total
27,220,s4,1507,Total
28,221,s4,3790,Total
29,225,s4,3526,Total
30,239,s4,3827,Total
31,241,s4,2311,Total
32,247,s4,3508,Total
33,252,s4,2400,Total
34,267,s4,2650,Total
35,272,s4,3239,Total
36,273,s4,3076,Total
37,279,s4,2578,Total
38,286,s4,3058,Total
39,314,s4,4073,Total
40,319,s4,3549,Total
41,327,s4,1543,Total
42,327,s4,1110,Total
43,327,s4,1543,Total
44,327,s4,1110,Total
45,335,s4,1754,Total
46,380,s4,3245,Total
47,387,s4,3852,Total
48,390,s4,1026,Total
49,406,s4,3939,Total
50,417,s4,3791,Total
51,420,s4,3863,Total
52,425,s4,3970,Total
53,449,s4,3245,Total
54,451,s4,1351,Total
55,461,s4,2135,Total
56,474,s4,3359,Total
57,476,s4,2169,Total
58,481,s4,2626,Total
59,496,s4,1637,Total
60,514,s4,2352,Total
61,515,s4,2089,Total
62,519,s4,1594,Total
63,525,s4,1510,Total
64,531,s4,2987,Total
65,533,s4,3903,Total
66,548,s4,2871,Total
67,568,s4,3662,Total
68,577,s4,3194,Total
69,580,s4,2039,Total
70,582,s4,1773,Total
71,591,s4,3993,Total
72,593,s4,1991,Total
73,594,s4,3584,Total
74,596,s4,2638,Total
75,604,s4,2568,Total
76,604,s4,1776,Total
77,604,s4,2568,Total
78,604,s4,1776,Total
79,609,s4,3240,Total
80,617,s4,2006,Total
81,619,s4,2159,Total
82,628,s4,1856,Total
83,640,s4,2319,Total
84,649,s4,1387,Total
85,651,s4,2792,Total
86,662,s4,1578,Total
87,671,s4,3306,Total
88,681,s4,2785,Total
89,691,s4,3146,Total
90,700,s4,3804,Total
91,706,s4,1301,Total
