1,0,s2,10,site experience,2
2,14,s2,10,site experience,0
3,14,s2,4,site experience,3
4,15,s2,6,site experience,3
5,34,s2,10,site experience,1
6,40,s2,3,site experience,2
7,41,s2,7,site experience,2
8,43,s2,7,site experience,1
9,45,s2,5,site experience,3
10,45,s2,5,site experience,3
11,45,s2,5,site experience,1
12,45,s2,10,site experience,3
13,47,s2,8,site experience,0
14,49,s2,10,site experience,2
15,62,s2,4,site experience,2
16,65,s2,10,site experience,1
17,68,s2,5,site experience,3
18,68,s2,3,site experience,3
19,82,s2,8,site experience,3
20,89,s2,10,site experience,3
21,131,s2,9,site experience,0
22,142,s2,10,site experience,0
23,143,s2,6,site experience,3
24,146,s2,10,site experience,3
25,154,s2,10,site experience,1
26,154,s2,9,site experience,3
27,166,s2,8,site experience,2
28,169,s2,4,site experience,3
29,171,s2,10,site experience,2
30,179,s2,6,site experience,1
31,184,s2,9,site experience,3
32,194,s2,4,site experience,1
33,198,s2,8,site experience,0
34,203,s2,7,site experience,3
35,225,s2,3,site experience,1
36,258,s2,6,site experience,3
37,282,s2,5,site experience,2
38,295,s2,8,site experience,0
39,317,s2,8,site experience,0
40,318,s2,6,site experience,1
41,340,s2,8,site experience,3
42,358,s2,5,site experience,2
43,358,s2,10,site experience,3
44,361,s2,10,site experience,1
45,375,s2,2,site experience,3
46,379,s2,10,site experience,1
47,379,s2,10,site experience,3
48,390,s2,3,site experience,1
49,393,s2,4,site experience,2
50,407,s2,10,site experience,2
51,419,s2,5,site experience,0
52,419,s2,5,site experience,3
53,422,s2,7,site experience,1
54,429,s2,8,site experience,1
55,432,s2,10,site experience,2
56,436,s2,10,site experience,0
57,443,s2,5,site experience,1
58,449,s2,10,site experience,0
59,484,s2,10,site experience,0
60,492,s2,9,site experience,0
61,498,s2,8,site experience,2
62,499,s2,10,site experience,3
63,500,s2,4,site experience,1
64,508,s2,6,site experience,2
65,510,s2,8,site experience,3
66,518,s2,7,site experience,3
67,527,s2,10,site experience,2
68,532,s2,3,site experience,1
69,540,s2,2,site experience,2
70,541,s2,7,site experience,3
71,545,s2,6,site experience,3
72,568,s2,8,site experience,3
73,576,s2,6,site experience,2
74,582,s2,10,site experience,3
75,597,s2,8,site experience,0
76,597,s2,9,site experience,1
77,597,s2,7,site experience,1
78,603,s2,10,site experience,1
79,608,s2,7,site experience,1
80,630,s2,8,site experience,0
81,642,s2,3,site experience,0
82,643,s2,5,site experience,1
83,651,s2,3,site experience,2
84,653,s2,9,site experience,1
85,653,s2,10,site experience,2
86,654,s2,2,site experience,3
87,655,s2,9,site experience,2
88,656,s2,2,site experience,2
89,662,s2,3,site experience,2
90,685,s2,4,site experience,3
91,694,s2,5,site experience,3
92,710,s2,10,site experience,0
93,723,s2,10,site experience,2
94,727,s2,4,site experience,1
